number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_units,params_kernel_size,params_learning_rate,params_num_filters,state
0,10826.7900390625,2025-05-12 20:27:58.110663,2025-05-12 20:28:15.809041,0 days 00:00:17.698378,128,16,4,0.02401618448259585,80,COMPLETE
1,11696.4814453125,2025-05-12 20:28:15.809041,2025-05-12 20:28:31.516055,0 days 00:00:15.707014,128,16,3,0.0166324894980805,64,COMPLETE
2,10527.7412109375,2025-05-12 20:28:31.516055,2025-05-12 20:28:51.561417,0 days 00:00:20.045362,64,16,5,0.07557001634790964,16,COMPLETE
3,13512.751953125,2025-05-12 20:28:51.561417,2025-05-12 20:29:04.683376,0 days 00:00:13.121959,128,48,2,0.0020957584312632236,16,COMPLETE
4,12707.3984375,2025-05-12 20:29:04.683376,2025-05-12 20:29:24.981579,0 days 00:00:20.298203,128,64,5,0.001216427078850906,112,COMPLETE
5,11139.41796875,2025-05-12 20:29:24.982138,2025-05-12 20:29:49.778586,0 days 00:00:24.796448,64,64,2,0.008863999285618302,64,COMPLETE
6,11777.1630859375,2025-05-12 20:29:49.778586,2025-05-12 20:30:13.642143,0 days 00:00:23.863557,64,32,3,0.0035132776882302384,64,COMPLETE
7,9982.0703125,2025-05-12 20:30:13.642143,2025-05-12 20:30:37.004529,0 days 00:00:23.362386,64,48,5,0.011358469331630153,80,COMPLETE
8,12216.59765625,2025-05-12 20:30:37.005883,2025-05-12 20:30:58.583482,0 days 00:00:21.577599,128,80,4,0.0011099777448941737,96,COMPLETE
9,11495.1787109375,2025-05-12 20:30:58.583482,2025-05-12 20:31:12.026753,0 days 00:00:13.443271,256,112,5,0.011982862667038734,96,COMPLETE
