number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_units,params_learning_rate,state
0,10434.333984375,2025-05-12 21:08:03.181820,2025-05-12 21:08:12.242613,0 days 00:00:09.060793,128,64,0.02813025845715938,COMPLETE
1,10693.0498046875,2025-05-12 21:08:12.242613,2025-05-12 21:08:43.410727,0 days 00:00:31.168114,32,96,0.0022197768868775086,COMPLETE
2,10501.958984375,2025-05-12 21:08:43.411742,2025-05-12 21:08:56.305484,0 days 00:00:12.893742,64,224,0.035568605897826455,COMPLETE
3,12599.9755859375,2025-05-12 21:08:56.305484,2025-05-12 21:09:05.374107,0 days 00:00:09.068623,128,64,0.0076024595888128195,COMPLETE
4,10045.5009765625,2025-05-12 21:09:05.374107,2025-05-12 21:09:18.337489,0 days 00:00:12.963382,128,224,0.030488005946620222,COMPLETE
5,14174.3740234375,2025-05-12 21:09:18.337489,2025-05-12 21:09:24.649036,0 days 00:00:06.311547,128,128,0.0023216208168824956,COMPLETE
6,12447.2724609375,2025-05-12 21:09:24.649036,2025-05-12 21:09:39.736068,0 days 00:00:15.087032,128,256,0.002668691802742964,COMPLETE
7,14265.7919921875,2025-05-12 21:09:39.737095,2025-05-12 21:09:44.432021,0 days 00:00:04.694926,128,32,0.03471304365517812,COMPLETE
8,9966.0537109375,2025-05-12 21:09:44.432021,2025-05-12 21:10:09.232688,0 days 00:00:24.800667,64,256,0.018053731837415734,COMPLETE
9,10465.171875,2025-05-12 21:10:09.233689,2025-05-12 21:10:23.367026,0 days 00:00:14.133337,128,224,0.005347870605537915,COMPLETE
